,revid,parentid,user,timestamp,size,comment,time,year_month,article,anon
0,1321125893,1320957748,HandsomeFella,2025-11-08T21:35:38Z,268958,removed [[Category:Activists for Palestinian solidarity]]; added [[Category:Swedish activists for Palestinian solidarity]] using [[WP:HC|HotCat]],2025-11-08 21:35:38,2025-11,Greta Thunberg,
1,1320957748,1320795695,Paprikaiser,2025-11-07T19:42:51Z,268950,/* Activism from 2022 to early 2023 */ Replaced link ([[WP:AMAZON]]),2025-11-07 19:42:51,2025-11,Greta Thunberg,
2,1320795695,1320788341,Bishonen,2025-11-06T20:36:00Z,269169,"Undid revision [[Special:Diff/1320788341|1320788341]] by [[Special:Contributions/Jacob Kemp123|Jacob Kemp123]] ([[User talk:Jacob Kemp123|talk]]). The version with ""cum"" is correct; you are thinking of a different meaning of the word. Did you see it was a blue link? You broke it.",2025-11-06 20:36:00,2025-11,Greta Thunberg,
3,1320788341,1319875005,Jacob Kemp123,2025-11-06T19:47:26Z,269165,Vanadalism: cum,2025-11-06 19:47:26,2025-11,Greta Thunberg,
4,1319875005,1319544152,GreenC bot,2025-11-01T12:11:25Z,269169,Reformat 2 URLs ([[en:User:GreenC/WaybackMedic_2.5|Wayback Medic 2.5]]),2025-11-01 12:11:25,2025-11,Greta Thunberg,
5,1319544152,1319544107,Wikipedialuva,2025-10-30T13:06:21Z,269163,"Cleaned up using [[WP:AutoEd|AutoEd]], [[Wikipedia:MOSNUMscript|script]]-assisted date audit and style fixes per [[MOS:NUM]]",2025-10-30 13:06:21,2025-10,Greta Thunberg,
6,1319544107,1318733088,Wikipedialuva,2025-10-30T13:05:45Z,269064,"clean up, [[WP:AWB/T|typo(s) fixed]]: Vice President → vice president, In 20 October 2023 → On 20 October 2023, ’s → 's",2025-10-30 13:05:45,2025-10,Greta Thunberg,
7,1318733088,1318732564,Xan747,2025-10-25T17:35:48Z,269241,/* Gaza humanitarian aid floatillas */ clarify Geneva Conventions against intentional starvation of civilians,2025-10-25 17:35:48,2025-10,Greta Thunberg,
8,1318732564,1318732405,Xan747,2025-10-25T17:31:24Z,269200,/* Gaza humanitarian aid floatillas */ sp and grammar,2025-10-25 17:31:24,2025-10,Greta Thunberg,
9,1318732405,1318711417,Xan747,2025-10-25T17:30:06Z,269196,"/* Gaza humanitarian aid floatillas */ what was initially intended as some light copy edits turned into a substantial rewrite of the first several paragraphs to remove redundant information, include additional background about the blockade and hopefully other improvements.",2025-10-25 17:30:06,2025-10,Greta Thunberg,
10,1318711417,1318710745,Arjayay,2025-10-25T14:58:20Z,267410,Duplicate word removed,2025-10-25 14:58:20,2025-10,Greta Thunberg,
11,1318710745,1318710324,Xan747,2025-10-25T14:52:35Z,267414,"/* Gaza Freedom Flotilla */ changed section name to ""Gaza humanitarian aid floatillas"" since more than one floatilla are mentioned",2025-10-25 14:52:35,2025-10,Greta Thunberg,
12,1318710324,1318681098,Xan747,2025-10-25T14:49:01Z,267403,"/* Gaza Freedom Flotilla */ less awkward attribution of ""symbolic amount of aid"" to Madleen's crew; fix mangled wikilink text to Global Sumud Flotilla",2025-10-25 14:49:01,2025-10,Greta Thunberg,
13,1318681098,1318672693,Deamonpen,2025-10-25T10:18:47Z,267441,/* Gaza Freedom Flotilla */ aid,2025-10-25 10:18:47,2025-10,Greta Thunberg,
14,1318672693,1318658686,Lova Falk,2025-10-25T09:00:16Z,266921,/* Gaza Freedom Flotilla */ it is not the bbc who says that the amount of aid was symbolic - probably israel.,2025-10-25 09:00:16,2025-10,Greta Thunberg,
15,1318658686,1318252287,Deamonpen,2025-10-25T06:50:37Z,266919,/* Gaza Freedom Flotilla */ aid,2025-10-25 06:50:37,2025-10,Greta Thunberg,
